filename,iterations,moves,solved,H/V,types,dimension
board0.csv,3339,9,yes,8:3,0:5:6:0:0,6
board1.csv,768,-,no,8:3,0:5:6:0:0,6
board10.csv,333,-,no,6:6,0:8:4:0:0,6
board100.csv,4,-,no,6:5,0:5:6:0:0,6
board101.csv,840,13,yes,4:8,0:8:4:0:0,6
board102.csv,2114,9,yes,6:5,0:5:6:0:0,6
board103.csv,540,-,no,5:6,0:5:6:0:0,6
board104.csv,6321,-,no,7:4,0:5:6:0:0,6
board105.csv,344,-,no,6:7,0:11:2:0:0,6
board106.csv,156,-,no,7:5,0:8:4:0:0,6
board107.csv,3878,-,no,9:4,0:11:2:0:0,6
board108.csv,18,-,no,8:4,0:8:4:0:0,6
board109.csv,2916,-,no,6:5,0:5:6:0:0,6
board11.csv,160,-,no,8:4,0:8:4:0:0,6
board110.csv,321,-,no,4:8,0:8:4:0:0,6
board111.csv,540,-,no,9:3,0:8:4:0:0,6
board112.csv,4211,11,yes,5:7,0:8:4:0:0,6
board113.csv,633,-,no,5:7,0:8:4:0:0,6
board114.csv,336,-,no,7:4,0:5:6:0:0,6
board115.csv,942,-,no,10:1,0:5:6:0:0,6
board116.csv,5170,-,no,7:4,0:5:6:0:0,6
board117.csv,41,4,yes,8:3,0:5:6:0:0,6
board118.csv,2198,-,no,8:4,0:8:4:0:0,6
board119.csv,2091,-,no,9:3,0:8:4:0:0,6
board12.csv,426,-,no,7:4,0:5:6:0:0,6
board120.csv,1075,-,no,6:5,0:5:6:0:0,6
board121.csv,490,6,yes,8:5,0:11:2:0:0,6
board122.csv,474,6,yes,6:5,0:5:6:0:0,6
board123.csv,1336,-,no,5:7,0:8:4:0:0,6
board124.csv,3438,12,yes,7:6,0:11:2:0:0,6
board125.csv,63,9,yes,7:4,0:5:6:0:0,6
board126.csv,817,-,no,6:5,0:5:6:0:0,6
board127.csv,1424,-,no,6:5,0:5:6:0:0,6
board128.csv,132,-,no,6:6,0:8:4:0:0,6
board129.csv,3678,15,yes,7:6,0:11:2:0:0,6
board13.csv,5551,-,no,8:4,0:8:4:0:0,6
